REFERENCE NAME,DISPLAY NAME,DESCRIPTION,TYPE,SCHOOL,INCANTATION,GESTURE,DURATION,CONCENTRATION,SERIES,TAG,TOKEN POSITION,BATTLE MAP SIZE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,TYPE TRANSLATION,SCHOOL TRANSLATION,INCANTATION TRANSLATION,GESTURE TRANSLATION,DURATION TRANSLATION,CONCENTRATION TRANSLATION,SERIES TRANSLATION,TAG TRANSLATION,TOKEN POSITION TRANSLATION,BATTLE MAP SIZE TRANSLATION,
Map,Crime Scene Map,A geometrically scaled map of the Crime Scene.,,,,,,,Map,,,"16,9",犯罪现场地图,犯罪现场的等比例缩小地图。,,,,,,,地图,,,"16,9",
Map2,Crime Scene Map,A geometrically scaled map of the Crime Scene. Flinhart died at the location of the V marker. This was also the location of where the murder must have occurred.,,,,,,,Map,,"Victim,8,3","16,9",犯罪现场地图,犯罪现场的等比例缩小地图。死者的位置在图上用“V”标识。这一定是第一案发现场。,,,,,,,地图,,"受害者,8,3","16,9",
Map3,Crime Scene Map,"A geometrically scaled map of the Crime Scene. Flinhart died at the location of the V marker. Garrick Pierce <i>claims</i> to have witnessed the murder from the W marker. But that's impossible, as he wouldn’t have had proper lighting.",,,,,,,Map,,"Victim,8,3","16,9",犯罪现场地图,按几何比例绘制的犯罪现场图。弗林哈特死亡的位置用“V”标记。加里克·皮尔斯<i>宣称</i>他在“W”标记的位置目击了谋杀过程。但那是不可能的，因为他没有合适的光源。,,,,,,,地图,,"受害者,8,3","16,9",
Power,Broken Power Cell,"The McCoy Inn is outfitted with several lamps powered by artificery. However, the arcane power cell has been broken for weeks and the lamps can’t be turned on.",,,,,,,Power,,,,损坏的奥术储能单元,麦考伊旅馆配置了几盏奥术能源驱动的灯。然而，由于奥术储能单元已经坏了好几周了，这些灯无法点亮。,,,,,,,能源,,,,
Power2,Broken Power Cell,"The McCoy Inn is outfitted with several lamps powered by artificery. However, the arcane power cell has been broken for weeks and the lamps can’t be turned on. This means that the lights were not operational during the murder.",,,,,,,Power,,,,损坏的奥术储能单元,麦考伊旅馆配置了几盏奥术能源驱动的灯。然而，由于奥术储能单元已经坏了好几周了，这些灯无法点亮。这意味着谋杀发生时，这些灯是无法使用的。,,,,,,,能源,,,,
Bottle,Shattered Bottle of Lotus Juice,"The shattered remains of a glass bottle. You found it next to Flinhart McCoy’s body. The label says the words: ""Lotus Juice"".",,,,,,,Bottle,,,,已经摔成碎片的莲之水饮料瓶,玻璃瓶残留的碎片。你在弗林哈特·麦考伊的尸体边上发现了它。商标上有如下字样：“莲之水”。,,,,,,,瓶子,,,,
Bottle2,Shattered Bottle of Lotus Juice,"The shattered remains of a glass bottle. Flinhart McCoy was holding this bottle and dropped it during the murder. The label says the words: ""Lotus Juice"".",,,,,,,Bottle,,,,已经摔成碎片的莲之水饮料瓶,玻璃瓶残留的碎片。弗林哈特·麦考伊遇害时正握着它，被杀害时瓶子掉在地上。商标上有如下字样：“莲之水”。,,,,,,,瓶子,,,,
Bottle3,Shattered Bottle of Lotus Juice,The shattered remains of a glass bottle. He was holding this bottle and dropped it during the murder. It contained Celeste's favorite drink: Lotus Juice. Flinhart McCoy retrieved it from his room after his argument with Celeste.,,,,,,,Bottle,,,,已经摔成碎片的莲之水饮料瓶,玻璃瓶残留的碎片。弗林哈特·麦考伊遇害时正握着它，被杀害时瓶子掉在地上。瓶内是塞莱斯特最喜欢的饮料“莲之水”。弗林哈特·麦考伊在与塞莱斯特争吵后从他房间里取出了它。,,,,,,,瓶子,,,,
Key,Celeste's Bedroom Key,The key to Celeste McCoy's bedroom in the McCoy Tavern.,,,,,,,,,,,塞莱斯特的卧室钥匙,塞莱斯特的卧室钥匙，卧室位于麦考伊酒馆内。,,,,,,,,,,,
Effie,Flinhart's Sister,"Flinhart McCoy’s sister died during an accident involving the local lord and his magic. Ever since then, Flinhart has hated magic and the mages who wield them.",,,,,,,,,,,弗林哈特的妹妹,弗林哈特的妹妹意外死于当地领主的魔法。自那时起，弗林哈特就变得痛恨魔法和法师。,,,,,,,,,,,
