REFERENCE NAME,DISPLAY NAME,DESCRIPTION,OCCUPATION,AGE,ARCANE ART,ALIAS,QUOTE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,OCCUPATION TRANSLATION,AGE TRANSLATION,ARCANE ART TRANSLATION,ALIAS TRANSLATION,QUOTE TRANSLATION,
Celeste5,Celeste McCoy,"My personal bodyguard and my closest confidante… She's really the person I trust the most, and it's nice to be able to rely on someone. I always feel happier whenever she's around, and she always has this way of brightening the room she's in. She's an adept fighter and has saved my life more times than I can count. She looks really cool when she's fighting. Every fluid movement she makes looks effortless on her part. I get a little nervous whenever I look directly at her. It feels like I'm staring at the sun or a really radiant jewel or something. She always teases me when she catches me staring at her, but she never looks mad. I don't know.",Bodyguard,19,Transmutation,,,塞莱斯特·麦考伊,,贴身护卫,19,形变术,,,
Celeste6,Celeste McCoy,"<s>I THINK I MIGHT BE IN LOVE WITH HER! I THINK I'M IN LOVE WITH HER, AND I HAVE NO IDEA WHAT TO DO!  WE'RE LITERALLY TOGETHER ALL THE TIME, AND I CAN'T IMAGINE HOW MORTIFYING IT'D BE IF I TOLD HER ABOUT THIS AND SHE DIDN'T FEEL THE SAME! WHAT AM I THINKING?! SHE OBVIOUSLY DOESN'T SEE ME THAT WAY! SHE'S LITERALLY THE MOST BEAUTIFUL PERSON I'VE EVER MET! SHE OBVIOUSLY HAVE BETTER OPTIONS THAN ME! SHE'S MY COWORKER, AND THESE FEELINGS ARE COMPLETELY UNPROFESSIONAL! SHE'S MY BEST FRIEND! </s>

…She's my best friend. I like being around her. She makes me happy. I don't know what to do…",Bodyguard,19,Transmutation,,,塞莱斯特·麦考伊,,贴身护卫,19,形变术,,,
CDress,Celeste McCoy,,Bodyguard,19,Transmutation,,,塞莱斯特·麦考伊,,贴身护卫,19,形变术,,,
Child,Child,,???,???,???,Alma,,孩童,,？？？,？？？,？？？,,,
Construct,Arcane Construct,,???,???,???,,,奥术构造体,,？？？,？？？,？？？,,,
Coraline,Coraline Sibyl,The head of House Sibyl and the Minister of Justice. Her noble house is one of the Four Pillar families and is the most powerful of them. Her family has managed the judicial and legislative branches of Wyverngarde's government for generations.,Duchess,38,Divination,,,卡洛琳·希比尔,,,38,占卜术,,,
Eris,Eris Illmater,"A mysterious and almost ethereal girl. It's hard to read what she's really thinking. I'm guilty to admit it, but I always feel a sense of dread whenever I'm around her. She seems nice, however, I just need to do a better job of checking my preconceptions.",Student|Empress of Discord,16|???,Illusion|None,,,厄莉斯·伊尔马特,,,16|？？？,幻象术|无,,,
EEris,Eris Illmater,"The demon known as the Empress of Discord. She's the one who's behind all of this. No matter what it takes, I need to stop her.",Empress of Discord,???,None,,,厄莉斯·伊尔马特,,无序女皇,？？？,无,,,
FEris,Eris Illmater,,Empress of Discord,???,None,,,厄莉斯·伊尔马特,,无序女皇,？？？,无,,,
Eugene,Eugene Haroldson,"Lord Haroldson's pet monkey and magical familiar. They can speak to each other telepathically, but he's usually hanging off of Harold's shoulder.",Monkey,20,Transmutation,,,尤金·哈罗德森,,猴子,20,形变术,,,
Eugene2,Eugene Haroldson,Lord Haroldson's pet monkey and magical familiar. He's actually extremely intelligent when he's wearing the Armbands of Intellect.,Monkey,20,Transmutation,,,尤金·哈罗德森,,猴子,20,形变术,,,
Eyetaker,Eyetaker,The ringleader of the largest criminal organization in Wyverngarde. He seems to be planning some sort of revolution and is working with Ruby Tymora for that purpose.,Boss,37,Illusion,Jon Leiran,,,,头目,37,幻象术,,,
Mercenaries,Mercenaries,,???,???,???,Jon Leiran,,雇佣兵,,？？？,？？？,？？？,,,
Townsfolk,Townsfolk,,???,???,???,Jon Leiran,,镇民,,？？？,？？？,？？？,,,
Flinhart,Flinhart McCoy,"Leader of a revolutionary faction in Kornhaven and owner of the McCoy Tavern. He seems to have an extreme grudge against mages and the nobility, but that sentiment tends to be common nowadays.",Unemployed,52,None,,,弗林哈特·麦考伊,,无业,52,无,,,
Garrick,Garrick Pierce,"The leader of House Pierce. He is the ruling noble of Kornhaven and the villages nearby. He appears to be involved in Prosecutor Steelwind's case against Celeste, but to what extent?",Nobleman,38|18,Transmutation,,,加里克·皮尔斯,,贵族男性,38|18,形变术,,,
Fredrick,Fredrick Pierce,,Nobleman,38,Transmutation,,,,,贵族男性,38,形变术,,,
Gavin,Gavin Cromwell,A local punk who likes to stir up trouble. I remember him from when I used to live here. It seems not a lot has changed…,None,16,None,,,,,无,16,无,,,
Harold,Harold Haroldson,The leader of House Haroldson. He appears to be an archaeologist and historian. His noble house owns the Haroldson Hall of History located in Homerith. That can't actually be his real name…,Historian,???,Transmutation,,,哈罗德·哈罗德森,,历史学家,？？？,形变术,,,
Horse,Horse,The leader of House Haroldson. He appears to be an archaeologist and historian. His noble house owns the Haroldson Hall of History located in Homerith. That can't actually his real name…,Horse,5,None,,,,,,5,无,,,
Horus,Horus the Lightbringer,The leader of House Haroldson. He appears to be an archaeologist and historian. His noble house owns the Haroldson Hall of History located in Homerith. That can't actually his real name…,God of Radiance,???,None,,,,,,？？？,无,,,
Jan,Jan Hughes,A custodian who works at the Imperial Academy. He looks exhausted. He looks like he's struggling just to stay awake whenever I talk to him.,Custodian,36,None,,,简·休斯,,管理人,36,无,,,
Jolene,Jolene McCoy,"Celeste's mother. I can't imagine what she's going through… She not only has to grieve her husband's death but also deal with her daughter's arrest for his murder.",Unemployed,46,None,,,朱莲尼·麦考伊,,无业,46,无,,,
Judge,Judge,,Judge,80,None,,,法官,,法官,80,无,,,
Justin,Justin Waye,,Factory Worker,19,None,,,贾斯汀·维耶,,,19,无,,,
Knight,Knight,,???,???,???,Con Artist,,骑士,,？？？,？？？,？？？,,,
Laefe,Laefe Frega,"The middle child of William Frega. She seems conflicted between her father's death and Beatrice's arrest for his murder. She's much kinder than Miriam. It's hard to believe they grew up in the same home.
",Noble,18,Conjuration,,,拉菲·弗雷加,,贵族,18,召唤术,,,
Lazarick,Lazarick Asclepius,The young head of House Asclepius: a noble house known for their knowledge and studies in <b>necromancy</b>. He seems to be friends with Laefe Frega.,Nobleman,22,Necromancy,,,拉扎瑞克·阿斯克勒庇俄斯,,贵族男性,22,死灵术,,,
Lloyd,Lloyd von Sanctus,The leader of House von Sanctus: the weakest of the Four Pillar Families. He stands at the head of the kingdom's commerce and international trade. I've met children who play chess better than him.,Duke,45,Abjuration,,,洛伊德·冯·桑克图斯,,,45,防护术,,,
LloydI,Lloyd von Sanctus,The head of House von Sanctus and the Duke of Commerce. His noble house is one of the Four Pillar Families. His family is responsible for managing trade and commerce throughout Wyverngarde.,Duke,45,Abjuration,,,洛伊德·冯·桑克图斯,,,45,防护术,,,
Frey,Frey Cuthbert,,???,???,???,,,芙雷·卡斯伯特,,？？？,？？？,？？？,,,
Lucio,Lucio Steelwind,The head of House Steelwind and the Grand General of Wyverngarde's military. He is apparently responsible for the death of countless revolutionaries. He seems to have a strained relationship with his daughter.,Grand General,66,Evocation,Nobleman,,卢西奥·斯蒂尔文德,,大将军,66,塑能术,贵族男性,,
LucioC,Lucio Steelwind,,Grand General,66,Evocation,,,卢西奥·斯蒂尔文德,,大将军,66,塑能术,,,
Marrunath,Marrunath,"A small winged demon who acts as Beatrice's familiar. Supposedly, Beatrice can only see through his eyes due to her blindness. To think that demons are actually real… ",Demonic Familiar,???,None,Demon,,马鲁纳斯,,恶魔类使魔,？？？,无,恶魔,,
Peasant,Peasant,,???,???,???,Carriage Merchant|Innkeeper,,,,？？？,？？？,？？？,,,
Miriam,Miriam Frega,"The spoiled daughter of House Frega: one of the Four Pillar Families. She's extremely arrogant, but appears to excel at her studies at the Imperial Academy. I can't imagine she has many genuine friends.",Student,17,Conjuration,Disgruntled Student,,米莉亚姆·弗雷加,,学生,17,召唤术,,,
Mosourika,Mosourika Tudor,"My dramatic childhood friend. She's a commoner who was born a mage. Through Dracogen's patronage, she was able to open up her own restaurant like she'd always dreamed about. I should have done more to keep in contact with her after I left...",Merchant,19,Evocation,,,莫苏里卡·都铎,,商人,19,塑能术,,,
Noah,Noah Morrison,The harbourmaster of Aurinax. He was friends with my mother before she was killed. He would always watch over me whenever my mother was busy with her job as a merchant. He taught me how to fish.,Harbourmaster,64,None,,,诺亚·莫里森,,港务长,64,无,,,
Nobleman,Nobleman,,???,???,???,Attorney|Executor,,贵族男性,,？？？,？？？,？？？,,,
Noblewoman,Noblewoman,,???,???,???,,,贵族女性,,？？？,？？？,？？？,,,
Orym,Orym White,The grumpy and apathetic leader of the Arcane Inquisition. He's had a personal grudge against Ms. Tymora for as long as I can remember.,Knight,64,None,,,奥蒙·怀特,,骑士,64,无,,,
Rath,Rathallion,The Scaled Lord and the creator of all Arcane magic. I'd only known from legends until this moment. I can hardly believe that ancient dragons actually exist…,Scaled Lord,1203,???,Remus Virgilae?,,拉萨利昂,,鳞甲领主,1203,？？？,雷穆斯·维吉莱？,,
Remus,Remus Virgilae,"A mysterious lord who appears to be close to the royal family. Apparently, he's the royal advisor to the King of Wyverngarde. I wonder why I've never heard of him before…",Royal Advisor,???,???,,,雷穆斯·维吉莱,,皇家顾问,？？？,？？？,,,
Ruby,Ruby Tymora,My mentor and legal guardian. She raised me after my mother was killed and taught me everything I know about being an attorney.,Attorney,46|36,None,,,鲁比·泰摩拉,,律师,46|36,无,,,
RubyC,Ruby Tymora,,Attorney,46,None,,,鲁比·泰摩拉,,律师,46,无,,,
RubyD,Ruby Tymora,,Attorney,46,None,,,鲁比·泰摩拉,,律师,46,无,,,
Rhys,Rhys Rudolf,A carriage driver who claims to have witnessed Celeste murdering Flinhart. He must be lying to cover for someone.,Servant,34,None,,,瑞斯·雷吉纳德·鲁道夫,,仆从,34,无,,,
Stefanic,Stefanic Dracogen,The merchant owner of the Dracogen Trading Company. He's an investor who has helped many commoners start their businesses in Aurinax. He seems to care deeply about workers' rights and enforces that ideology in his business.,Guildmaster,70,None,,,斯蒂芬尼克·德拉科根,,公会长,70,无,,,
Theodore,Theodore Redmond,The elderly headmaster of the Wyverngarde Imperial Academy. He appears to be close to Wallace and facilitated his studies in <b>necromancy</b>.,Headmaster,88,Illusion,Headmaster,,西奥多·雷德蒙,,校长,88,幻象术,校长,,
Theon,Theon Archeus,The devout leader of the Church of Bahamut. I don't think I've met anyone who reveres the Scaled Lord as much as he does.,High Speaker,81,None,,,希恩·阿契厄斯,,大主教,81,无,,,
Tracker,Tracker,The best boy. The bestest boy who ever bested a boy.,Dog,3,None,Wolf,,追追,,狗,3,无,狼,,
Tyrion,Tyrion Cuthbert,A practicing defense attorney and the best chess player in all of Wyverngarde.,Defense Attorney|None|Prosecutor,20|10,None,,,提利昂·卡斯伯特,,,20|10,无,,,
TyrionP,Tyrion Cuthbert,A practicing defense attorney and the best chess player in all of Wyverngarde.,Defense Attorney,20|10,None,,,提利昂·卡斯伯特,,辩护律师,20|10,无,,,
Valentina,Valentina Ianus,"Works for the kitchen staff at the Imperial Academy. She works alongside her sister, Valerie. She seems to be on edge due to Bellwether's murder.",Kitchen Staff,19,None,,,瓦伦蒂娜·伊努斯,,厨房工作人员,19,无,,,
Valerie,Valerie Ianus,"Works for the kitchen staff at the Imperial Academy. She works alongside her sister, Valentina. She's softer-spoken when compared to her sister, but she also seems to be on edge due to Bellwether's murder.",Kitchen Staff,19,Necromancy|None,Valentina Ianus?,,瓦莱丽·伊努斯,,厨房工作人员,19,死灵术|无,瓦伦蒂娜·伊努斯？,,
Wallace,Wallace Nightgrave,A student at the Wyverngarde Imperial Academy. He's extremely anxious and looks ready to flee at any moment's notice. He's very secretive about the type of magic he studies.,Student|Unemployed,16,Necromancy|???,,,华莱士·奈特格雷夫,,学生|无业,16,死灵术|？？？,,,
William,William Frega,The head of House Frega and the Duke of Finance. His noble house is one of the Four Pillar families and responsible for tax collection and the exchange of resources. House Frega owns and controls every banking house in Wyverngarde.,Duke,62,Conjuration,,,威廉·弗雷加,,,62,召唤术,,,
Wyatt,Wyatt Miller,"I also remember him. Back then, whenever Gavin was causing trouble, Wyatt was never far behind. It seems not a lot has changed there either…",None,17,None,,,,,无,17,无,,,
Gallery,Gallery,,???,???,???,,,旁听席,,？？？,？？？,？？？,,,
Illia,Illia Stormwake,,High Inquisitor,23,None,,,伊利亚·斯托姆维克,,最高裁判官,23,无,,,
Miles,Miles Varyn kal Galad,,Archsentinel,27,None,,,迈尔斯·瓦林·卡尔·加拉德,,哨兵长,27,无,,,
