REFERENCE NAME,DISPLAY NAME,DESCRIPTION,TYPE,SCHOOL,INCANTATION,GESTURE,DURATION,CONCENTRATION,SERIES,TAG,TOKEN POSITION,BATTLE MAP SIZE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,TYPE TRANSLATION,SCHOOL TRANSLATION,INCANTATION TRANSLATION,GESTURE TRANSLATION,DURATION TRANSLATION,CONCENTRATION TRANSLATION,SERIES TRANSLATION,TAG TRANSLATION,TOKEN POSITION TRANSLATION,BATTLE MAP SIZE TRANSLATION,
The Murder of Garrick Pierce,"The Murder of Garrick Pierce","The Inquisition found a frozen blade impaling Garrick Pierce through his heart. There were traces of <b>transmutation</b> on his blood. This implies that the murderer used <b>Shape Liquid</b> to create this blade and murder him. Which is oddly similar to how Pierce murdered Flinhart McCoy.

But why would the murderer do this when they clearly had more lethal spells at their disposal? Pierce used this method during Flinhart’s murder to leave as little evidence as possible. However, it’s clear the murderer wanted to frame Aria and leave as <i>much</i> evidence as possible.","","","","","","","","","","",
Pierce's Spell Compendium,"Pierce's Spell Compendium","Garrick Pierce's Spell Compendium. It contains the formulas for the following spells: Prestidigitation, Conjure Light, Conjure Water, Frost Wave, and Shape Liquid.","","","","","","","","","","",
Sibyl's Spell Compendium,"Sibyl's Spell Compendium","Coraline Sibyl’s Spell Compendium. It contains the formulas for the following spells: Slow Fall, Foresight, Strike True, Detect Magic, Stone Skin, and Mend Wounds.","","","","","","","","","","",
Aria's Spell Compendium,"Aria's Spell Compendium","Aria Steelwind’s Spell Compendium. It contains the formulas for the following spells: Mend Wounds, Fire Bolt, Shape Liquid, Dispel Magic, Steelwind Strike, Detect Magic, Polymorph, and Hold Creature.","","","","","","","","","","",
Von Sanctus's Spell Compendium,"Von Sanctus's Spell Compendium","Lloyd Von Sanctus’s Spell Compendium. It contains the formulas for the following spells: Mage Blade, Force Cage, Send Message, Stone Skin, Mend Wounds, Familial Bond, Teleport, and Summon.","","","","","","","","","","",
Beatrice's Spell Compendium,"Beatrice's Spell Compendium","Beatrice Frega’s Spell Compendium. It contains the formulas for the following spells: Familial Bond, Sleep, Mend Wounds, Send Message, Animate Corpse, Necrotic Blight, Shatter, Invisibility, Feign Death, and Illusory Disguise.","","","","","","","","","","",
Marriage Meeting,"Marriage Meeting","From 1:15PM-1:40PM, Aster de Wyverngarde and Aria Steelwind spoke with High Speaker Theon Archeus about their upcoming wedding. At 1:40PM Steelwind abruptly left the meeting and didn’t answer Aster when asked where she was going.","","","","","","","","","","",
The Trapped King,"The Trapped King","At 2:00PM, Aster de Wyverngarde went to pay his respects at his father’s coffin. Unbeknownst to him, however, there was a <b>Glyph of Contingency</b> set to trap him inside a <b>Force Cage</b>. The trap triggered and Aster was trapped in that magical cage for its duration.

This caused the Kingsguard to consolidate their forces at Aster’s location. As a result, Lloyd von Sanctus, Coraline Sibyl, and Garrick Pierce were left with far fewer guards defending them.","","","","","","","KingTrap","","","",
The Trapped King 2,"The Trapped King","At 2:00 PM, Aster de Wyverngarde went to pay his respects at his father’s coffin. Unbeknownst to him, however, there was a <b>Glyph of Contingency</b> set to trap him inside a <b>Force Cage</b>. The trap triggered and Aster was trapped in that magical cage for its duration. Aster attempted to break the <b>Force Cage</b> by casting <b>Fire Bolt</b>. This created fresh traces of <b>evocation</b> which makes it impossible to tell when the <b>Glyph of Contingency</b> was placed.

There were traces of <b>illusion</b> magic at the crime scene. This might imply that someone hid themselves from the guards as they set this trap.","","","","","","","KingTrap","","","",
Archeus's Encounter,"Archeus's Encounter","Theon Archeus was on his way to the Prayer Room to recite his prayers. On his way there, he spotted Aria Steelwind throwing something off of the west balcony. 

He wasn’t able to see what she threw. But after Coraline Sibyl’s body was found in Lake Galakrond, he assumed the object must have been Sibyl’s body. However, he could have sworn that he saw something “darker”. But he’s still not sure.","","","","","","","Archeus","","","",
Archeus's Encounter 2,"Archeus's Testimony","Theon Archeus was on his way to the Prayer Room to recite his prayers. On his way there, he spotted Aria Steelwind throwing something off of the west balcony. 

He wasn’t able to see what she threw. But after Coraline Sibyl’s body was found in Lake Galakrond, he assumed the object must have been Sibyl’s body. However, he could have sworn that he saw something “darker”. But he’s still not sure.

After witnessing this, he attempted to enter the Prayer Room but was turned away by the knights guarding it.
","","","","","","","Archeus","","","",
The Report,"The Report","The Inquisition discovered something was wrong when Alaric de Wyverngarde reported that a fire had broken out in the Common Room. He also told them that Aria Steelwind cast a spell on him earlier that severely debilitated his senses.

When the Inquisition arrived at the scene, they spotted the unconscious guards outside the Prayer Room. They did not see Celeste McCoy and Aria Steelwind. This all happened at 3:10PM.","","","","","","","","","","",
Soundproof Room,"Soundproof Room","Supposedly, Theon Archeus suffers from chronic insomnia and can be woken by even the smallest sound. As such, the walls of the High Speaker’s Quarters are completely soundproof once he closes the door. This should explain why Archeus didn’t hear the fight between Celeste McCoy and Aria Steelwind.","","","","","","","","","","",
Debris Near the Balcony,"Debris Near the Balcony","You found some bits of earth-like debris near the west-ward balcony. They have traces of <b>transmutation</b> magic on them. This also happens to be where Theon Archeus saw Aria Steelwind dumping Coraline Sibyl’s body.","","","","","","","","","","",
Beatrice's Actions,"Beatrice's Actions","I saw Beatrice Frega as I was losing consciousness. I only saw her for a brief moment. So, it could have been an illusion. Regardless, that meant that she somehow entered the Prayer Room at 2:30PM.","","","","","","","BeatAct","","","",
Beatrice's Actions 2,"Beatrice's Actions","I saw Beatrice Frega as I was losing consciousness. I only saw her for a brief moment. So, it could have been an illusion. Regardless, that meant that she somehow entered the Prayer Room at 2:30PM.

A knight was assigned to guard Beatrice and kill her if Marrunath attempted to escape. He was later found comatose in front of the Prayer Room. Eris Illmater, who was also with Beatrice when she disappeared, has been missing since the massacre.","","","","","","","BeatAct","","","",
Virgilae's Alibi,"Virgilae's Alibi","The demon Marrunath called Archduke Remus Virgilae to meet with him at 1:50PM. He apparently had very important information that Virgilae couldn’t ignore. Virgilae spoke with Marrunath until 3:10PM. The members of the Kingsguard guarding the demon can verify this.","","","","","","","","","","",
Alaric's Testimony,"Alaric's Testimony","Alaric de Wyverngarde saw Aria Steelwind exiting the Common Room. He saw that a fire had started there. But when he asked Steelwind what was going on, she cast a <b>transmutation</b> spell on him.


This spell blurred his vision and put him in a daze. His ears were ringing, and he was unable to speak or walk properly. He could only move by crawling on the ground. Strangely, no one saw him while he was in this state.
","","","","","","","","","","",
Steelwind's Testimony,"Steelwind's Testimony","Aria Steelwind has no memories of what happened after she left her meeting with Theon Archeus and Aster de Wyverngarde. After she left the meeting, she began heading to the Nave to meet with her father. However, she suddenly felt nauseous and went to the westward balcony. She lost consciousness soon after.

She later regained consciousness in the Prayer Room shortly after I did. She heard Celeste McCoy crying over me. She did not cast ANY magic before she fell unconscious. ","","","","","","","","","","",
Liafal's Testimony,"Laefe's Testimony","Beatrice Frega and Eris Illmater were accounted for in the Garden until 2:00PM. But after that, they both went missing. Eris supposedly lost track of Beatrice and searched for her in the Garden.

Laefe Frega, Miriam Frega, and Lazarick Asclepius were together and were about to search for Beatrice at 2:05PM. However, they were stopped by the Kingsguard who reported that a <b>Glyph of Contingency</b> had just trapped Aster de Wyverngarde in a <b>Force Cage</b>. ","","","","","","","","","","",
The Purple Mark,"The Purple Mark","It’s some sort of strange symbol. Aria Steelwind calls it the “Purple Mark”. She thinks it has some relation to her mind control conspiracy.

Supposedly, this mark has been found at the scenes of several gruesome murders throughout Wyverngarde. Aria felt she was getting close to the truth. When she regained consciousness after the massacre, she found a paper with the symbol in her pocket.","","","","","","","","","","",
Aria's Blood Contract,"Aria's Blood Contract","The Blood Contract seems strange… Unlike Beatrice’s contract, it’s only one page. Even stranger, there’s a large empty space at the top half of the page. There are only a few sentences at the bottom.

“For the intentions of this contract, the person who hands the contract to Aria Steelwind will be referred to as ‘the Patron’. By signing this contract, Aria Steelwind surrenders her mind, body, and soul to the Patron. This contract will bind Aria Steelwind to the Patron so long as they both live.”

It’s signed with Aria’s signature…","","","","","","","AriaContract","","","",
Aria's Blood Contract 2,"Aria's Blood Contract","The Blood Contract seems strange… Unlike Beatrice’s contract, it’s only one page. Even stranger, there’s a large empty space at the top half of the page. There are only a few sentences at the bottom.

“For the intentions of this contract, the person who hands the contract to Aria Steelwind will be referred to as ‘the Patron’. By signing this contract, Aria Steelwind surrenders her mind, body, and soul to the Patron. This contract will bind Aria Steelwind to the Patron so long as they both live.”

It’s signed with Aria’s signature…

Celeste McCoy saw Aria drop this Contract before she entered the Prayer room with Tyrion. Due to the Empress of Discord changing her memories, she can’t remember what was written on this Contract.  
","","","","","","","AriaContract","","","",
Celeste's Blood Contract,"Celeste's Blood Contract","""With the apparent death of Tyrion Cuthbert, the Empress of Discord shall revive him, contingent upon the eternal servitude of Celeste McCoy. Henceforth, Celeste McCoy's soul shall be eternally bound to the Abyssal Hells.

As a part of her servitude, Celeste McCoy shall engage in actions deemed necessary to secure the compliance and cooperation of Aria Steelwind in the Empress’s endeavours.

And lastly, it is stipulated that Celeste McCoy, of her own volition and agency, shall bring about the demise of Garrick Pierce by her own hand. Afterwards, Tyrion Cuthbert's consciousness will be restored.""  ","","","","","","","","","","",
Ruby's Blood Contract,"Ruby's Blood Contract","“Upon signing this Contract, Ruby Tymora grants the Empress of Discord access to her memories. At any time, the Empress may view any and all of Tymora’s memories. In addition to that, the Empress may instantaneously change and alter her memories whenever she wishes.”

It's signed with Ruby Tymora's name.","","","","","","","","","","",
No Blood Contract,"No Blood Contract","Aster de Wyverngarde has no Blood Contract with the Empress of Discord... obviously.","","","","","","","","","","",
