REFERENCE NAME,DISPLAY NAME,DESCRIPTION,OCCUPATION,AGE,ARCANE ART,ALIAS,QUOTE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,OCCUPATION TRANSLATION,AGE TRANSLATION,ARCANE ART TRANSLATION,ALIAS TRANSLATION,QUOTE TRANSLATION,
Coraline,Coraline Sibyl,"The head of House Sibyl and the Minister of Justice. Her noble house is one of the Four Pillar families and is the most powerful of them. Her family has managed the judicial and legislative branches of Wyverngarde's government for generations.",Duchess,38,Divination,,,
Eris,Eris Illmater,"A mysterious and almost ethereal girl. It's hard to read what she's really thinking. I'm guilty to admit it, but I always feel a sense of dread whenever I'm around her. She seems nice, however, I just need to do a better job of checking my preconceptions.",Student|Empress of Discord,16|???,Illusion|None,,,
EEris,Eris Illmater,"The demon known as the Empress of Discord. She's the one who's behind all of this. No matter what it takes, I need to stop her.",Empress of Discord,???,None,,,
FEris,Eris Illmater,"",Empress of Discord,???,None,,,
Eugene,Eugene Haroldson,"Lord Haroldson's pet monkey and magical familiar. They can speak to each other telepathically, but he's usually hanging off of Harold's shoulder.",Monkey,20,Transmutation,,,
Eugene2,Eugene Haroldson,"Lord Haroldson's pet monkey and magical familiar. He's actually extremely intelligent when he's wearing the Armbands of Intellect.",Monkey,20,Transmutation,,,
Eyetaker,Eyetaker,"The ringleader of the largest criminal organization in Wyverngarde. He seems to be planning some sort of revolution and is working with Ruby Tymora for that purpose.",Boss,37,Illusion,Jon Leiran,,
Mercenaries,Mercenaries,"",???,???,???,Jon Leiran,,
Townsfolk,Townsfolk,"",???,???,???,Jon Leiran,,
Flinhart,Flinhart McCoy,"Leader of a revolutionary faction in Kornhaven and owner of the McCoy Tavern. He seems to have an extreme grudge against mages and the nobility, but that sentiment tends to be common nowadays.",Unemployed,52,None,,,
Garrick,Garrick Pierce,"The leader of House Pierce. He is the ruling noble of Kornhaven and the villages nearby. He appears to be involved in Prosecutor Steelwind's case against Celeste, but to what extent?",Nobleman,38|18,Transmutation,,,
Fredrick,Fredrick Pierce,"",Nobleman,38,Transmutation,,,
Gavin,Gavin Cromwell,"A local punk who likes to stir up trouble. I remember him from when I used to live here. It seems not a lot has changed…",None,16,None,,,
Harold,Harold Haroldson,"The leader of House Haroldson. He appears to be an archaeologist and historian. His noble house owns the Haroldson Hall of History located in Homerith. That can't actually be his real name…",Historian,???,Transmutation,,,
Horse,Horse,"The leader of House Haroldson. He appears to be an archaeologist and historian. His noble house owns the Haroldson Hall of History located in Homerith. That can't actually his real name…",Horse,5,None,,,
Horus,Horus the Lightbringer,"The leader of House Haroldson. He appears to be an archaeologist and historian. His noble house owns the Haroldson Hall of History located in Homerith. That can't actually his real name…",God of Radiance,???,None,,,
Jan,Jan Hughes,"A custodian who works at the Imperial Academy. He looks exhausted. He looks like he's struggling just to stay awake whenever I talk to him.",Custodian,36,None,,,
Jolene,Jolene McCoy,"Celeste's mother. I can't imagine what she's going through… She not only has to grieve her husband's death but also deal with her daughter's arrest for his murder.",Unemployed,46,None,,,
Judge,Judge,"",Judge,80,None,,,
Justin,Justin Waye,"",Factory Worker,19,None,,,
Knight,Knight,"",???,???,???,Con Artist,,
Laefe,Laefe Frega,"The middle child of William Frega. She seems conflicted between her father's death and Beatrice's arrest for his murder. She's much kinder than Miriam. It's hard to believe they grew up in the same home.
",Noble,18,Conjuration,,,
Lazarick,Lazarick Asclepius,"The young head of House Asclepius: a noble house known for their knowledge and studies in <b>necromancy</b>. He seems to be friends with Laefe Frega.",Nobleman,22,Necromancy,,,
Lloyd,Lloyd von Sanctus,"The leader of House von Sanctus: the weakest of the Four Pillar Families. He stands at the head of the kingdom's commerce and international trade. I've met children who play chess better than him.",Duke,45,Abjuration,,,
LloydI,Lloyd von Sanctus,"The head of House von Sanctus and the Duke of Commerce. His noble house is one of the Four Pillar Families. His family is responsible for managing trade and commerce throughout Wyverngarde.",Duke,45,Abjuration,,,
Frey,Frey Cuthbert,"",???,???,???,,,
Lucio,Lucio Steelwind,"The head of House Steelwind and the Grand General of Wyverngarde's military. He is apparently responsible for the death of countless revolutionaries. He seems to have a strained relationship with his daughter.",Grand General,66,Evocation,Nobleman,,
LucioC,Lucio Steelwind,"",Grand General,66,Evocation,,,
Marrunath,Marrunath,"A small winged demon who acts as Beatrice's familiar. Supposedly, Beatrice can only see through his eyes due to her blindness. To think that demons are actually real… ",Demonic Familiar,???,None,Demon,,
Peasant,Peasant,"",???,???,???,Carriage Merchant|Innkeeper,,
Miriam,Miriam Frega,"The spoiled daughter of House Frega: one of the Four Pillar Families. She's extremely arrogant, but appears to excel at her studies at the Imperial Academy. I can't imagine she has many genuine friends.",Student,17,Conjuration,Disgruntled Student,,
Mosourika,Mosourika Tudor,"My dramatic childhood friend. She's a commoner who was born a mage. Through Dracogen's patronage, she was able to open up her own restaurant like she'd always dreamed about. I should have done more to keep in contact with her after I left...",Merchant,19,Evocation,,,
Noah,Noah Morrison,"The harbourmaster of Aurinax. He was friends with my mother before she was killed. He would always watch over me whenever my mother was busy with her job as a merchant. He taught me how to fish.",Harbourmaster,64,None,,,
Nobleman,Nobleman,"",???,???,???,Attorney|Executor,,
Noblewoman,Noblewoman,"",???,???,???,,,
Orym,Orym White,"The grumpy and apathetic leader of the Arcane Inquisition. He's had a personal grudge against Ms. Tymora for as long as I can remember.",Knight,64,None,,,
Rath,Rathallion,"The Scaled Lord and the creator of all Arcane magic. I'd only known from legends until this moment. I can hardly believe that ancient dragons actually exist…",Scaled Lord,1203,???,Remus Virgilae?,,
Remus,Remus Virgilae,"A mysterious lord who appears to be close to the royal family. Apparently, he's the royal advisor to the King of Wyverngarde. I wonder why I've never heard of him before…",Royal Advisor,???,???,,,
Ruby,Ruby Tymora,"My mentor and legal guardian. She raised me after my mother was killed and taught me everything I know about being an attorney.",Attorney,46|36,None,,,
RubyC,Ruby Tymora,"",Attorney,46,None,,,
RubyD,Ruby Tymora,"",Attorney,46,None,,,
Rhys,Rhys Rudolf,"A carriage driver who claims to have witnessed Celeste murdering Flinhart. He must be lying to cover for someone.",Servant,34,None,,,
Stefanic,Stefanic Dracogen,"The merchant owner of the Dracogen Trading Company. He's an investor who has helped many commoners start their businesses in Aurinax. He seems to care deeply about workers' rights and enforces that ideology in his business.",Guildmaster,70,None,,,
Theodore,Theodore Redmond,"The elderly headmaster of the Wyverngarde Imperial Academy. He appears to be close to Wallace and facilitated his studies in <b>necromancy</b>.",Headmaster,88,Illusion,Headmaster,,
Theon,Theon Archeus,"The devout leader of the Church of Bahamut. I don't think I've met anyone who reveres the Scaled Lord as much as he does.",High Speaker,81,None,,,
Tracker,Tracker,"The best boy. The bestest boy who ever bested a boy.",Dog,3,None,Wolf,,
Tyrion,Tyrion Cuthbert,"A practicing defense attorney and the best chess player in all of Wyverngarde.",Defense Attorney|None|Prosecutor,20|10,None,,,
TyrionP,Tyrion Cuthbert,"A practicing defense attorney and the best chess player in all of Wyverngarde.",Defense Attorney,20|10,None,,,
Valentina,Valentina Ianus,"Works for the kitchen staff at the Imperial Academy. She works alongside her sister, Valerie. She seems to be on edge due to Bellwether's murder.",Kitchen Staff,19,None,,,
Valerie,Valerie Ianus,"Works for the kitchen staff at the Imperial Academy. She works alongside her sister, Valentina. She's softer-spoken when compared to her sister, but she also seems to be on edge due to Bellwether's murder.",Kitchen Staff,19,Necromancy|None,Valentina Ianus?,,
Wallace,Wallace Nightgrave,"A student at the Wyverngarde Imperial Academy. He's extremely anxious and looks ready to flee at any moment's notice. He's very secretive about the type of magic he studies.",Student|Unemployed,16,Necromancy|???,,,
William,William Frega,"The head of House Frega and the Duke of Finance. His noble house is one of the Four Pillar families and responsible for tax collection and the exchange of resources. House Frega owns and controls every banking house in Wyverngarde.",Duke,62,Conjuration,,,
Wyatt,Wyatt Miller,"I also remember him. Back then, whenever Gavin was causing trouble, Wyatt was never far behind. It seems not a lot has changed there either…",None,17,None,,,
Gallery,Gallery,"",???,???,???,,,
Illia,Illia Stormwake,"",High Inquisitor,23,None,,,
Miles,Miles Varyn kal Galad,"",Archsentinel,27,None,,,
